都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,管理NO,区,避難所No,避難所名称,所在地,電話1,電話1備考,避難所運営協力自主防災組織,開放区,敷地面積_m2,保有教室等の総面積_m2,救護所,運動場面積_m2,運動場面積_備考,体育館面積_m2,格技場面積_m2,収容可能人員（屋内）,緯度,経度
221390,022,静岡県,浜松市,22,中央区,中央22,城北小学校,浜松市中央区住吉一丁目23-1,(053)471-0196,,西上池川（一部）、和地山（一・二丁目）、住吉（一部）,体育館、北校舎（開放教室）、南校舎（開放教室）、放課後児童会室,17559,1892,無,7527,,865,0,919,34.731863,137.731457
221390,023,静岡県,浜松市,23,中央区,中央23,高台中学校,浜松市中央区住吉五丁目19-1,(053)471-5474,,住吉（一部）、幸（一部）,体育館、特別活動室、柔道場、卓球場,20474,2870,無,12384,,966,0,1279,34.735467,137.730495
221390,024,静岡県,浜松市,24,中央区,中央24,泉小学校,浜松市中央区泉一丁目16-1,(053)472-5228,,泉、和合町,体育館、南校舎（普通教室、一部特別教室）、北校舎（普通教室、一部特別教室）,22092,2017,無,14869,,685,0,901,34.739747,137.721233
221390,025,静岡県,浜松市,25,中央区,中央25,萩丘小学校,浜松市中央区幸五丁目12-1,(053)471-4246,,幸（一部）、萩丘、小豆餅,体育館、北棟（一部特別教室）、中棟（コミュニティルーム）,14850,2216,有,5775,,861,0,1026,34.746838,137.725932
221390,026,静岡県,浜松市,26,中央区,中央26,葵が丘小学校,浜松市中央区高丘東三丁目51-1,(053)436-1461,,葵東、高丘（一部）、,体育館、特別教室（一部）,17132,1986,無,12663,,789,0,925,34.762572,137.71635
221390,027,静岡県,浜松市,27,中央区,中央27,瑞穂小学校,浜松市中央区高丘北三丁目15-8,(053)436-7158,,高丘（一部）,体育館、北校舎（普通教室）、南校舎（普通教室）,20105,2262,無,9362,,1011,0,1091,34.759406,137.715207
221390,028,静岡県,浜松市,28,中央区,中央28,開成中学校,浜松市中央区高丘北一丁目15-20,(053)437-1421,,高丘（一部）,体育館、特別活動室、支援室,24057,2628,有,11085,,1078,0,1235,34.760119,137.707756
221390,029,静岡県,浜松市,29,中央区,中央29,葵西小学校,浜松市中央区葵西二丁目25-1,(053)436-6652,,葵西,体育館、校舎1階教室,18201,2002,無,7466,,775,0,926,34.767881,137.7106
221390,030,静岡県,浜松市,30,中央区,中央30,曳馬小学校,浜松市中央区曳馬一丁目1-35,(053)471-4201,,新津町（遠鉄線路沿一部）、助信町、高林、曳馬町金屋,体育館、ひくまのホール、北校舎（特別教室）、南校舎（普通教室）、和室、洋室,17420,2463,無,9147,,775,0,1079,34.726794,137.738448
221390,031,静岡県,浜松市,31,中央区,中央31,上島小学校,浜松市中央区上島一丁目21-1,(053)471-3195,,曳馬町阿弥陀、十軒町（馬込川以西）、上島町東、上島町西、上島町南、上島町北,体育館、多目的ホール、普通教室,16536,3305,無,8551,,1216,0,1507,34.735947,137.741005
221390,032,静岡県,浜松市,32,中央区,中央32,曳馬中学校,浜松市中央区曳馬四丁目2-15,(053)461-9737,,曳馬町三浦、曳馬町本郷、曳馬町宮,体育館、多目的室、南校舎（一部特別教室）,23110,3114,有,11500,,1272,0,1462,34.730255,137.741549
221390,033,静岡県,浜松市,33,中央区,中央33,富塚小学校,浜松市中央区富塚町1803,(053)471-0203,,富塚町北、富塚町中,体育館、普通教室、つくし2組教室、つくし3組教室,10777,1786,有,7312,,631,0,806,34.726299,137.703289
221390,034,静岡県,浜松市,34,中央区,中央34,富塚西小学校,浜松市中央区富塚町3541,(053)474-6333,,富塚町西、西和,体育館、図工室、たんぽぽルーム、北校舎（一部普通教室、一部特別教室）,26059,1558,無,10799,,775,0,778,34.729343,137.69985
221390,035,静岡県,浜松市,35,中央区,中央35,富塚中学校,浜松市中央区富塚町460-1,(053)471-5261,,富塚町東（第二～五部）、富塚町御前谷,体育館、柔剣道場,25243,2710,無,10772,,1272,455,1479,34.721541,137.702679
221390,036,静岡県,浜松市,36,中央区,中央36,花川小学校,浜松市中央区花川町781,(053)436-1401,,花川町一部、花川町二部、花川町三部、西丘町、,体育館、特別教室（一部）,12534,1014,有,9586,,972,0,662,34.774444,137.685818
221390,037,静岡県,浜松市,37,中央区,中央37,佐鳴台小学校,浜松市中央区佐鳴台三丁目31-1,(053)448-6768,,佐鳴台一～三丁目、六丁目,体育館、普通教室（一部）、特別教室（一部）、グリーンルーム,21562,2328,有,11513,,775,0,1034,34.706052,137.696724
221390,038,静岡県,浜松市,38,中央区,中央38,佐鳴台中学校,浜松市中央区佐鳴台三丁目32-1,(053)449-2231,,佐鳴台三丁目県営住宅、四・五丁目,体育館、柔剣道場、校舎1階（一部特別教室）、技術棟金工室,25713,2273,無,12389,,1060,455,1263,34.706755,137.698484
221390,039,静岡県,浜松市,39,中央区,中央39,笠井小学校,浜松市中央区笠井町1050,(053)434-1042,,笠井町第一、第二、第五、第六、第七、第八,体育館,16297,1745,無,7632,,775,0,840,34.771162,137.795304
221390,040,静岡県,浜松市,40,中央区,中央40,豊西小学校,浜松市中央区豊西町1551,(053)434-1165,,豊西町上、豊西町下、常光町、貴平町上、貴平町下、恒武町上、恒武町下、豊町上、豊町下、豊町西、豊町南、豊町羽鳥、豊町倉中瀬上、豊町倉中瀬下,体育館、北校舎,16693,1572,無,9334,,751,0,774,34.767297,137.804187
221390,041,静岡県,浜松市,41,中央区,中央41,笠井中学校,浜松市中央区笠井町1055,(053)434-1079,,笠井上町、笠井町第三、笠井新田町第一～第三,体育館、特別活動室,19574,2660,有,9794,,808,0,1156,34.771233,137.792729
221390,042,静岡県,浜松市,42,中央区,中央42,与進小学校,浜松市中央区天王町1351,(053)421-1542,,市野町東（一部）、市野町南（一部）、原島町、天王町東（一部）、天王町西、天王町中,体育館、南北校舎（一部）,22826,2651,有,10140,,1131,0,1261,34.741025,137.771218
221390,043,静岡県,浜松市,43,中央区,中央43,与進中学校,浜松市中央区市野町1405-1,(053)421-1558,,上石田町、市野町東（一部）、天王町東（一部）、下石田町,講堂兼体育館、特別活動室（若草ホール）,23184,3056,無,10176,,1551,0,1536,34.743422,137.777708
221390,044,静岡県,浜松市,44,中央区,中央44,与進北小学校,浜松市中央区市野町2715,(053)421-6976,,市野町南（一部）、市野町北、小池町、鷺の宮団地（南団地）、中田町,体育館、校舎の一部,18103,1861,無,10132,,775,0,879,34.746739,137.765744
221390,045,静岡県,浜松市,45,中央区,中央45,和田小学校,浜松市中央区薬師町273-2,(053)421-0134,,和田町、天竜川町、篠ヶ瀬町、北島町、薬師町、青屋町（青屋上地区）,体育館、南北校舎一部,14562,2233,有,7088,,979,0,1071,34.724941,137.782906
221390,046,静岡県,浜松市,46,中央区,中央46,天竜中学校,浜松市中央区龍光町43,(053)421-0172,,安間町（一部）、龍光町（一部）、長鶴町（一部）、薬新町（一部）、薬新団地,体育館、特別活動室、南校舎一部,26116,3160,無,14012,,1080,0,1413,34.721493,137.786926
221390,047,静岡県,浜松市,47,中央区,中央47,和田東小学校,浜松市中央区安間町437-2,(053)422-0125,,安新町、安間町（一部）、材木町、龍光町（一部）、長鶴町（一部）、薬新町（一部）,体育館、音楽室、図工室、多目的教室,19855,1511,無,9322,,775,0,762,34.720965,137.789148
221390,048,静岡県,浜松市,48,中央区,中央48,中ノ町小学校,浜松市中央区中野町427-1,(053)421-0059,,松小池町、国吉町、中野町東、中野町西、中野町南、中野町北、中野町大明神、白鳥町、中里町,体育館、校舎3・4階普通教室以外,13389,1528,有,5193,,629,0,719,34.730183,137.793135
221390,049,静岡県,浜松市,49,中央区,中央49,積志小学校,浜松市中央区積志町1497-1,(053)434-0027,,西ヶ崎町沖、大瀬町西、積志町橋爪向、積志町吾妻、積志町松木、積志町漆島、有玉北町新村,体育館、校舎3階ドリームルーム、図工室,20804,3181,有,8706,,1008,0,1396,34.765934,137.760338
221390,050,静岡県,浜松市,50,中央区,中央50,積志中学校,浜松市中央区有玉北町1200,(053)434-0143,,有玉北町上瀬、有玉北町小島、半田町、半田山北、半田団地、旭ヶ丘、医大宿舎,体育館、武道館,26209,2881,無,20459,,1086,455,1474,34.765304,137.757718
221390,051,静岡県,浜松市,51,中央区,中央51,中郡小学校,浜松市中央区中郡町915,(053)433-0927,,中郡町橋爪東、中郡町橋爪新田、西ヶ崎町旭、西ヶ崎町上、西ヶ崎町中,体育館（西ヶ崎町住民）、南校舎（橋爪東、新田住民）,24108,1920,無,17908,,1052,0,991,34.770871,137.773948
221390,052,静岡県,浜松市,52,中央区,中央52,大瀬小学校,浜松市中央区大瀬町2218,(053)434-4620,,鷺の宮団地（北・中団地）、大島町上前島、大瀬町栩木、大瀬町東、大瀬町中、鷺の宮北部,体育館、校舎1・2階一部,21513,1457,無,15980,,664,0,707,34.756738,137.772822
221390,053,静岡県,浜松市,53,中央区,中央53,有玉小学校,浜松市中央区有玉南町614,(053)435-0051,,有玉西町欠下平、有玉欠下本村、有玉台、有玉団地、東畑屋、有玉南町西畑屋、有玉南町川原本村、有玉南町市場、有玉南町下村新田、有玉北町町田,体育館、校舎1階一部,17969,1918,無,9500,,775,0,898,34.758005,137.750315
221390,054,静岡県,浜松市,54,中央区,中央54,中郡中学校,浜松市中央区中郡町897,(053)433-2717,,中郡町万斛東、中郡町万斛西、大島町上大瀬、積志町橋爪西,体育館、特別活動室,24058,2480,有,11583,,1078,0,1186,34.769088,137.774929
221390,055,静岡県,浜松市,55,中央区,中央55,蒲小学校,浜松市中央区神立町5,(053)461-2644,,神立町、将監町、植松町、子安町、大蒲町、宮竹町、西塚町、子安団地,体育館、南北校舎一部,14144,2645,有,7891,,1099,0,1248,34.71704,137.757912
221390,056,静岡県,浜松市,56,中央区,中央56,丸塚中学校,浜松市中央区丸塚町1050,(053)461-8724,,茄子町（馬込川以東）、細島町、十軒町（馬込川以東）、早出町、丸塚町、上新屋町、上西町,体育館、特別活動室、技術室棟,21514,2945,無,18139,,1020,0,1322,34.726028,137.754393
221390,057,静岡県,浜松市,57,中央区,中央57,神久呂小学校,浜松市中央区神ケ谷町3490,(053)485-8508,,西山町、神原町,体育館、北校舎教室,20168,1868,無,11872,,1099,0,989,34.726888,137.669204
221390,058,静岡県,浜松市,58,中央区,中央58,神久呂中学校,浜松市中央区大久保町6633,(053)485-8519,,神ケ谷町、大久保町,体育館、特別活動室、図書室、教材室,27810,1724,有,20320,,812,0,845,34.725152,137.665401
221390,059,静岡県,浜松市,59,中央区,中央59,入野小学校,浜松市中央区入野町8757,(053)447-1009,,入野町彦尾、入野町本所、入野町道陸地、入野町北脇、入野町田端（一部）,体育館、ふれあいルーム、図書室、家庭科室、図工室、音楽室、多目的室,14388,2458,無,7508,,1011,0,1156,34.699496,137.686073
221390,060,静岡県,浜松市,60,中央区,中央60,入野中学校,浜松市中央区入野町17059,(053)447-1104,,入野町臨江山、入野町南平、県営南平団地、入野町田端（一部）,体育館、特別活動室、木工室、金工室,28276,2776,有,8397,,1040,0,1272,34.701802,137.676968
221390,061,静岡県,浜松市,61,中央区,中央61,西都台小学校,浜松市中央区西鴨江町1106,(053)449-1336,,西鴨江、志都呂町、志都呂団地,体育館,21993,1410,無,10488,,775,0,728,34.703309,137.664212
221390,062,静岡県,浜松市,62,中央区,中央62,伊佐見小学校,浜松市中央区伊左地町5644,(053)486-0007,,伊左地町、瞳ケ丘（一部）、緑ヶ丘,体育館、生活科室、ランチルーム、多目的室,18806,2179,無,10524,,659,0,946,34.745386,137.655558
221390,063,静岡県,浜松市,63,中央区,中央63,湖東中学校,浜松市中央区佐浜町4540,(053)486-0054,,湖東町、佐浜町（一部）,体育館、南館校舎の一部教室,35557,3609,有,24864,,1104,0,1571,34.756525,137.658981
221390,064,静岡県,浜松市,64,中央区,中央64,佐浜会館,浜松市中央区佐浜町1933-1,-,,佐浜町（一部）,ホール、和室,925,206,無,925,（敷地）,0,0,69,34.742638,137.644667
221390,065,静岡県,浜松市,65,中央区,中央65,和地小学校,浜松市中央区湖東町2005,(053)486-0107,,和地町、大山町、和光町、湖東団地、湖東西、桜台,体育館、各階教室,21712,2193,有,11073,,1010,0,1068,34.766641,137.666822
221390,066,静岡県,浜松市,66,中央区,中央66,篠原小学校,浜松市中央区篠原町10300,(053)447-2009,,篠原町東、篠原町西（一部）、坪井町、馬郡町舞阪駅前,体育館、家庭科室、理科室、図工室、第2音楽室、多目的室,20589,2536,有,9309,,1032,0,1189,34.683801,137.656429
221390,067,静岡県,浜松市,67,中央区,中央67,篠原中学校,浜松市中央区篠原町20200-1,(053)447-2109,,馬郡町、篠原町西（一部）,体育館、特別教室,23654,2444,無,12420,,1140,250,1278,34.681782,137.657744
221390,068,静岡県,浜松市,68,中央区,中央68,庄内学園（庄内小中学校）,浜松市中央区庄内町100,(053)487-0063,,舘山寺町、庄内町、深萩町、呉松町、平松町、白洲町（一部）、協和町、庄和町,体育館、潮鳴館（柔剣道場）,32979,5422,有,23867,,1040,455,2306,34.754981,137.608045
221390,069,静岡県,浜松市,69,中央区,中央69,村櫛小学校,浜松市中央区村櫛町2551,(053)489-2824,,村櫛町,体育館、校舎（図工室、理科室、音楽室、普通教室）,12800,1224,有,7405,,806,0,677,34.728335,137.595255
221390,070,静岡県,浜松市,70,中央区,中央70,白洲公民館,浜松市中央区白洲町3850-1,-,,白洲町（一部）,ホール、2階和室,1401,312,無,845,,0,0,104,34.735378,137.62376
221390,071,静岡県,浜松市,71,中央区,中央71,大平台小学校,浜松市中央区大平台三丁目6-1,(053)482-1161,,大平台,体育館、なかよしホール,20894,2514,無,11250,,1225,0,1246,34.714775,137.680708
221390,072,静岡県,浜松市,72,中央区,中央72,はまゆう図書館,浜松市中央区大人見町1750-394,(053)482-1127,,ゆう・おおひとみ、大人見町、古人見町、瞳ケ丘（一部）,閲覧室フロア、講座室、おはなしの部屋、グループ学習室,10109,1200,無,0,,0,0,400,34.737856,137.65768
221390,073,静岡県,浜松市,73,中央区,中央73,舞阪第1保育園,浜松市中央区舞阪町弁天島3885,(053)592-0004,,第一弁天島、第二弁天島,園舎（保育室、遊戯室、沐浴室、給食室）,1906,525,無,265,,0,0,175,34.692889,137.604046
221390,074,静岡県,浜松市,74,中央区,中央74,舞阪小学校,浜松市中央区舞阪町舞阪76,(053)592-0144,,西町、仲町、吹上,体育館、北校舎1階普通教室の一部,16138,2505,有,8885,,1629,0,1378,34.685928,137.611126
221390,075,静岡県,浜松市,75,中央区,中央75,舞阪第2保育園,浜松市中央区舞阪町舞阪2659-3,(053)592-3552,,新町,園舎（保育室、遊戯室、休憩室）,2325,655,無,293,,0,0,218,34.683246,137.613663
221390,076,静岡県,浜松市,76,中央区,中央76,舞阪幼稚園,浜松市中央区舞阪町舞阪2668-33,-,,砂町,園舎（遊戯室、2なかよしの部屋、2普通クラス）,5232,2978,無,800,,0,0,993,34.679972,137.610317
221390,077,静岡県,浜松市,77,中央区,中央77,舞阪中学校,浜松市中央区舞阪町舞阪4601,(053)592-0274,,仲町、新町、長池,体育館､格技場、ホール、被服室,26897,2631,無,15762,,2070,597,1766,34.679006,137.615191
221390,078,静岡県,浜松市,78,中央区,中央78,渚園,浜松市中央区舞阪町弁天島5005-1,(053)592-1525,,第二弁天島,キャンプ場、レストハウス,155027,370,無,81000,,0,0,123,34.697544,137.605752
221390,079,静岡県,浜松市,79,中央区,中央79,舞阪総合体育館,浜松市中央区舞阪町舞阪2623-32,(053)597-2800,,仲町、新町,体育室、卓球室、会議室,5476,0,無,0,,3980,0,1327,34.679391,137.612845
221390,080,静岡県,浜松市,80,中央区,中央80,雄踏小学校,浜松市中央区雄踏町宇布見7997-1,(053)592-1029,,西ヶ崎・雄踏パーク,体育館、にこにこルーム2･3,32393,2882,無,7647,,1265,0,1382,34.701617,137.632509
221390,081,静岡県,浜松市,81,中央区,中央81,雄踏中学校,浜松市中央区雄踏町宇布見9595,(053)592-1107,,小山・領家,体育館,64837,3800,無,27574,,3150,605,2518,34.694593,137.633248
221390,082,静岡県,浜松市,82,中央区,中央82,雄踏文化センター,浜松市中央区雄踏町宇布見5427,(053)596-1100,,中村・田端・つるが丘,多目的ホール、2和室、児童コーナー,15051,1825,有,0,,0,0,608,34.701573,137.634522
221390,083,静岡県,浜松市,83,中央区,中央83,雄踏総合体育館,浜松市中央区雄踏町宇布見9981-1,(053)597-3500,,浅羽・山崎,メインアリーナ、サブアリーナ,9948,0,無,0,,2164,0,721,34.702593,137.617484
221390,084,静岡県,浜松市,84,中央区,中央84,白脇小学校,浜松市中央区寺脇町431,(053)441-0693,,三島町、寺脇町、福塚町、中田島町、白羽町、瓜内町（馬込川以東）、楊子町、ビレッジハウス浜松,体育館、南校舎・北校舎の一部,12244,2289,有,5183,,778,0,1022,34.681858,137.74484
221390,085,静岡県,浜松市,85,中央区,中央85,砂丘小学校,浜松市中央区白羽町2512,(053)441-3375,,砂丘,体育館、校舎の一部,22646,1581,有,18437,,585,0,722,34.667704,137.726005
221390,086,静岡県,浜松市,86,中央区,中央86,新津小学校,浜松市中央区新橋町777,(053)447-0044,,新橋町東、堤町、米津町、田尻町、法枝町、卸本町,体育館、北校舎の一部,20218,2386,有,10808,,1011,0,1132,34.682733,137.703102
221390,087,静岡県,浜松市,87,中央区,中央87,新津中学校,浜松市中央区新橋町748,(053)447-0129,,新橋町西、小沢渡町、小沢渡町西、倉松町,体育館、南校舎・北校舎の一部,21957,2418,無,12525,,1138,0,1185,34.683361,137.701274
221390,088,静岡県,浜松市,88,中央区,中央88,河輪小学校,浜松市中央区東町333,(053)425-0036,,東町、河輪町上、河輪町下、三新町、長田町,体育館、校舎の一部,20483,1380,有,13075,,757,0,712,34.676083,137.782585
221390,089,静岡県,浜松市,89,中央区,中央89,東陽中学校,浜松市中央区西町700,(053)425-1862,,西町、富屋町、鼡野町、御給町、下江町、四本松町、立野町、古川町、金折町、老間町、老間団地,体育館、武道場、木工室、金工室,22412,2201,無,10793,,927,455,1194,34.681041,137.777745
221390,090,静岡県,浜松市,90,中央区,中央90,芳川小学校,浜松市中央区芳川町206-1,(053)461-0020,,石原町、安松町、芳川町神出、芳川町大橋、大柳町,体育館、校舎（西棟）の一部,16468,2042,無,6948,,1011,0,1018,34.69252,137.766415
221390,091,静岡県,浜松市,91,中央区,中央91,南陽中学校,浜松市中央区芳川町80,(053)461-2494,,本郷町（公会堂以南）、本郷町東（3区）、参野町、恩地町、都盛町、県営芳川団地,体育館、北校舎の一部,21584,2877,有,11771,,1078,859,1605,34.693679,137.764867
221390,092,静岡県,浜松市,92,中央区,中央92,芳川北小学校,浜松市中央区頭陀寺町1046-1,(053)463-7231,,本郷町（公会堂以北）、本郷町東（1区、2区）、頭陀寺町、西伝寺町,体育館、北校舎の一部,20086,2066,無,11124,,1011,0,1026,34.698938,137.760932
221390,093,静岡県,浜松市,93,中央区,中央93,飯田小学校,浜松市中央区飯田町978,(053)461-3740,,渡瀬町、飯田町田畑、飯田町上組、飯田町新田、飯田町西、飯田町開戸、鶴見町東、鶴見町西、南天竜、青屋町（青屋上地区以外）,体育館、中校舎、北校舎、南校舎の一部,14458,2093,有,7440,,773,0,955,34.706426,137.774084
221390,094,静岡県,浜松市,94,中央区,中央94,東部中学校,浜松市中央区飯田町1038,(053)461-0231,,三和町、下飯田町、新貝町、大塚町,体育館、特別活動室,25147,3319,無,14562,,1500,0,1606,34.703083,137.773963
221390,095,静岡県,浜松市,95,中央区,中央95,可美小学校,浜松市中央区若林町1748,(053)447-0043,,若林町東、若林町西、若林町北、東若林町,体育館、校舎（南校舎・南校舎東棟・北校舎東棟・北校舎西棟）の一部,18347,2750,有,8981,,1032,0,1261,34.689622,137.695405
221390,096,静岡県,浜松市,96,中央区,中央96,可美中学校,浜松市中央区増楽町700,(053)447-0127,,高塚町南、高塚町北、増楽町,体育館、格技場棟の一部,16765,2747,無,11701,,941,625,1438,34.687932,137.690783
221390,097,静岡県,浜松市,97,中央区,中央97,南の星小学校,浜松市中央区西島町1148-1,(053)425-6900,,西島町東、西島町西、松島町、江之島町、福島町、遠州浜第一～第五,体育館、校舎（西棟）の一部,18401,8536,有,8053,,1183,0,3240,34.662615,137.768259
221390,098,静岡県,浜松市,98,中央区,中央98,三方原小学校,浜松市中央区三方原町682,(053)436-6200,,三方原町三方原南、三方原町三方原、百里園,体育館、東校舎一階、職員更衣室,17258,1845,有,8330,,979,0,941,34.778061,137.712186
221390,099,静岡県,浜松市,99,中央区,中央99,豊岡小学校,浜松市中央区豊岡町22,(053)436-1107,,百園、東三方町、豊岡町、三幸町、東三方町官舎、三方原聖隷（連絡員）,体育館、北校舎（一部特別教室）,35874,2212,有,12214,,802,0,1005,34.78696,137.719417
221390,100,静岡県,浜松市,100,中央区,中央100,北星中学校,浜松市中央区初生町1305,(053)436-1106,,初生町北（第一・第二）、初生町追分（一部）,体育館、特別活動室、多目的ホール,25668,3012,無,12583,,1272,0,1428,34.768721,137.715618
221390,101,静岡県,浜松市,101,中央区,中央101,初生小学校,浜松市中央区初生町1001-2,(053)437-0718,,初生町南、初生町北（第三）、初生町中、初生町追分（一部）,体育館、普通教室、一部特別教室,19339,1982,無,7975,,764,0,915,34.768903,137.727457
221390,102,静岡県,浜松市,102,中央区,中央102,三方原中学校,浜松市中央区豊岡町196,(053)436-7823,,三方原町清水、根洗町、大原町、,体育館、特別活動室、木工室、金工室、被服室,22796,2745,無,13763,,1066,0,1270,34.789034,137.719594
221390,103,静岡県,浜松市,103,浜名区,浜名1,都田小学校,浜松市浜名区都田町5609-2,(053)428-2004,,都田町横尾、都田町谷上、都田町一色、都田町吉影、都田町中野,体育館、図工室、音楽室、多目的室,7572,1047,有,2698,,719,0,589,34.827495,137.71715
